codigo_centro,nome_centro,coord,instit,website,nr_inv,nr_phd,nr_phd_int,nr_grupos,aval_2007
MATH-LVT-Lisboa-143,Centro de Álgebra da Universidade de Lisboa,Gracinda Maria Santos Gomes Moreira da Cunha,Fundação da Universidade de Lisboa,http://caul.cii.fc.ul.pt/,42,32,14,3,Very Good
MATH-LVT-Lisboa-4032,Centro de Análise Funcional e Aplicações,Frank-Olme Ewald Speck,Instituto Superior Técnico - Universidade de Lisboa,http://ceaf.math.ist.utl.pt,26,22,22,1,Very Good
MATH-LVT-Lisboa-89,"Centro de Análise Matemática, Geometria e Sistemas Dinâmicos",Carlos Rocha,Instituto Superior Técnico - Universidade de Lisboa,http://camgsd.math.ist.utl.pt/,66,66,66,1,Excellent
MATH-Madeira-Funchal-219,Centro de Ciências Matemáticas - CCM,José Luís da Silva,Universidade da Madeira,http://www.uma.pt/Investigacao/Ccm/,26,22,19,2,Good
MATH-LVT-Lisboa-6,Centro de Estatística e Aplicações da Universidade de Lisboa,Maria Isabel Fraga Alves,Faculdade de Ciências - Universidade de Lisboa,http://www.ceaul.fc.ul.pt,79,51,39,4,Very Good
MATH-LVT-Lisboa-323,Centro de Estatística e Gestão de Informação - CEGI,Manuel José Vilares,Instituto Superior de Estatística e Gestão de Informação - Universidade Nova de Lisboa,,22,14,10,1,Fair
MATH-LVT-Lisboa-1431,Centro de Estruturas Lineares e Combinatórias,Carlos Alberto Martins André,Fundação da Universidade de Lisboa,http://hermite.cii.fc.ul.pt/index.html,30,27,19,5,Very Good
MATH-Centro-Aveiro-602,Centro de Estudos em Optimização e Controlo (CEOC),Domingos Cardoso,Universidade de Aveiro,http://ceoc.mat.ua.pt,34,23,20,3,Very Good
MATH-Alentejo-Evora-117,Centro de Investigação em Matemática e Aplicações - CIMA,Vladimir Alekseevitch Bushenkov,Universidade de Évora,http://www.cima.uevora.pt/,46,29,26,6,Good
MATH-LVT-Lisboa-152,Centro de Investigação Operacional,Luis Gouveia,Faculdade de Ciências - Universidade de Lisboa,http://cio.fc.ul.pt/home.do,56,34,34,1,Excellent
MATH-Centro-Covilha-212,Centro de Matemática,Vadim Yurinsky (iourinski),Universidade da Beira Interior,http://www.ubi.pt/investigacao.php,20,20,16,10,Good
MATH-Norte-Braga-13,Centro de Matemática - CMAT,Maria Paula Beirão de Oliveira Marques Smith,Universidade do Minho,http://www.cmat.uminho.pt/Default.aspx?tabindex=0&tabid=4&pageid=3&lang=pt-PT,78,55,36,15,Very Good
MATH-Norte-VilaReal-4080,Centro de Matemática - UTAD  (CM-UTAD),Emília Joaquina Giraldes Soares,Universidade de Trás-os-Montes e Alto Douro, http://home.utad.pt/~matemat,46,27,13,4,Good
MATH-Centro-Coimbra-324,Centro de Matemática da Universidade de Coimbra,José Miguel Dordio Martinho de Almeida Urbano,Faculdade de Ciências e Tecnologia - Universidade de Coimbra,http://www.mat.uc.pt/~cmuc/index.php,85,63,55,6,Excellent
MATH-Norte-Porto-144,Centro de Matemática da Universidade do Porto,João Nuno Domingues Tavares,Faculdade de Ciências - Universidade do Porto,http://www.fc.up.pt/cmup/,97,69,59,8,Excellent
MATH-LVT-Lisboa-822,Centro de Matemática e Aplicações - CEMAT,António Manuel Pacheco Pires,Instituto Superior Técnico - Universidade de Lisboa,http://www.math.ist.utl.pt/cma/index.shtml,90,62,25,6,Very Good
MATH-LVT-Almada-297,Centro de Matemática e Aplicações - CMA,Joao Tiago Mexia,Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,http://www.dmat.fct.unl.pt/cma/index.do,64,46,30,6,Very Good
MATH-LVT-Lisboa-209,Centro de Matemática e Aplicações Fundamentais,luis sanchez rodrigues,Fundação da Universidade de Lisboa,http://ptmat.ptmat.fc.ul.pt/,79,65,38,8,Excellent
MATH-LVT-Lisboa-208,Grupo de Física-Matemática da Universidade de Lisboa,Jean-Claude Zambrini,Fundação da Universidade de Lisboa,http://gfm.cii.fc.ul.pt/,35,27,12,3,Excellent
MATH-Centro-Aveiro-255,Matemática e Aplicações,LUÍS FILIPE PINHEIRO DE CASTRO,Universidade de Aveiro,http://ma.mat.ua.pt/ma/home.php,74,47,37,6,Very Good
PHYS-Norte-Porto-3,Centro de Astrofísica da Universidade do Porto,Mário João Pires Fernandes Garcia Monteiro,Centro de Astrofísica - Universidade do Porto,http://www.astro.up.pt,49,31,22,2,Excellent
PHYS-LVT-Lisboa-2751,Centro de Astronomia e Astrofísica,Carlos Paulo da Câmara Crawford do Nascimento,Fundação da Faculdade de Ciências - Faculdade de Ciências da Universidade de Lisboa,http://www.oal.ul.pt/caaul/,31,21,13,2,Very Good
PHYS-Centro-Coimbra-36,Centro de Estudos de Materiais por Difracção de Raios X,José António De Carvalho Paixão,Faculdade de Ciências e Tecnologia - Universidade de Coimbra,http://pollux.fis.uc.pt.,29,19,17,3,Very Good
PHYS-LVT-Lisboa-303,Centro de Física Atómica,Maria Luisa Dias de Carvalho de Sousa Leonardo,Fundação da Universidade de Lisboa,http://www.ciul.ul.pt/~cfa/,36,25,21,5,Very Good
PHYS-Centro-Coimbra-405,Centro de Física Computacional,Manuel Joaquim Baptista Fiolhais,Centro de Física Computacional - Faculdade de Ciências e Tecnologia da Universidade de Coimbra,http://cfc.fis.uc.pt/,60,43,34,5,Very Good
PHYS-LVT-Lisboa-261,Centro de Física da Matéria Condensada,Maria Margarida da Fonseca Beja Godinho,Fundação da Universidade de Lisboa,http://cfmc.cii.fc.ul.pt/pt,59,52,29,4,Very Good
PHYS-Norte-Braga-607,Centro de Física da Universidade do Minho,Senentxu Lanceros-Mendez,Universidade do Minho,http://www.fisica.uminho.pt/df2/df/Web/Page.aspx?id=05,84,65,55,7,Excellent
PHYS-LVT-Lisboa-91,Centro de Física das Interacções Fundamentais,José Emílio Fernandes Tavares Ribeiro,Centro de Física das Interacções Fundamentais - Instituto Superior Técnico,http://cfif.ist.utl.pt/cfif.html,28,26,15,3,Very Good
PHYS-Norte-Porto-44,Centro de Física do Porto,Miguel Costa,Faculdade de Ciências - Universidade do Porto,http://faraday.fc.up.pt/cfp,25,14,10,2,Very Good
PHYS-LVT-Almada-68,Centro de Física e Investigação Tecnológica - CEFITEC,Paulo Manuel Assis Loureiro Limão Vieira,Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,http://cefitec.df.fct.unl.pt/,53,35,22,8,Very Good
PHYS-LVT-Lisboa-275,Centro de Física Nuclear ,António Carlos de Sá Fonseca,Fundação da Universidade de Lisboa,http://cfnul.cii.fc.ul.pt/,95,64,32,6,Very Good
PHYS-LVT-Lisboa-777,Centro de Física Teórica de Particulas,Gustavo Castelo Branco,Instituto Superior Técnico - Universidade de Lisboa,http://cftp.ist.utl.pt/,49,40,23,1,Excellent
PHYS-LVT-Lisboa-618,Centro de Física Teórica e Computacional da Universidade de Lisboa,Augusto M. C. A. Barroso,Fundação da Universidade de Lisboa,http://cftc.cii.fc.ul.pt/~cftcweb/index.html,45,29,17,5,Very Good
PHYS-Centro-Coimbra-217,Centro de Instrumentação,Joaquim Marques Ferreira dos Santos,Faculdade de Ciências e Tecnologia - Universidade de Coimbra,http://c-instr.fis.uc.pt/,53,21,21,4,Very Good
PHYS-LVT-Lisboa-99,Centro Multidisciplinar de Astrofísica - CENTRA,Jorge Venceslau Comprido Dias de Deus,Instituto Superior Técnico - Universidade de Lisboa,http://centra.ist.utl.pt/,24,17,18,2,Very Good
PHYS-LVT-Lisboa-427,Grupo de Dinâmica Não-Linear,Rui Manuel Agostinho Dilao,Instituto Superior Técnico - Universidade de Lisboa,https://sd.ist.utl.pt/,4,4,3,2,Fair
PHYS-Centro-Covilha-524,Unidade de Detecção Remota,José Alberto Ribeiro Pacheco de Carvalho,Universidade da Beira Interior,http://ubista.ubi.pt/~udt/udt.html,40,22,11,4,Good
CHEM-LVT-Lisboa-536,Centro de Ciências Moleculares e Materiais,Carlos Alberto Nieto de Castro,Faculdade de Ciências - Universidade de Lisboa,http://ccmm.fc.ul.pt/,76,45,28,5,Very Good
CHEM-Norte-Porto-81,Centro de Investigação em Química da Universidade do Porto ,Manuel Ribeiro Silva,Associação para o Desenvolvimento da Faculdade de Ciências da Universidade do Porto,http://ciq.fc.up.pt/,98,45,39,5,Excellent
CHEM-Algarve-Faro-4023,Centro de Investigação em Química do Algarve,Joao Carlos Pereira Peres Brandao,Faculdade de Ciências e Tecnologia - Universidade do Algarve,http://www.ualg.pt/ciqa,38,25,16,2,Good
CHEM-Norte-Braga-686,Centro de Química,Maria Fernanda de Jesus Rego Paiva Proença,Universidade do Minho,http://www.quimica.uminho.pt/,70,42,36,7,Excellent
CHEM-Centro-Coimbra-313,Centro de Química - Coimbra,Sebastião José Formosinho Sanches Simões,Faculdade de Ciências e Tecnologia - Universidade de Coimbra,http://www.qui.uc.pt/investigacao.php,80,52,44,6,Very Good
CHEM-Norte-VilaReal-616,Centro de Química - Vila Real,Pedro Manuel de Melo Bandeira Tavares,Universidade de Trás-os-Montes e Alto Douro,http://www.utad.pt/pt/investigacao/c_quimica/index.html,32,20,19,3,Very Good
CHEM-Madeira-Funchal-674,Centro de Química da Madeira,João Rodrigues,Universidade da Madeira,http://cqm.uma.pt/index.php,25,14,13,2,Good
CHEM-Alentejo-Evora-619,Centro de Química de Évora,Peter Joseph Michael Carrott,Universidade de Évora,http://www.cqe.uevora.pt/,53,26,24,6,Good
CHEM-LVT-Lisboa-612,Centro de Química e Bioquímica,Maria José Calhorda,Faculdade de Ciências - Universidade de Lisboa,http://cqb.fc.ul.pt/,111,62,48,12,Excellent
CHEM-LVT-Lisboa-100,Centro de Química Estrutural,João Emídio da Silva da Costa Pessoa,Instituto Superior Técnico - Universidade de Lisboa,http://cqe.ist.utl.pt/,130,95,77,7,Excellent
CHEM-Centro-Aveiro-62,"Química Orgânica, Produtos Naturais e Agroalimentares",José Abrunheiro da Silva Cavaleiro,Universidade de Aveiro,http://www.ua.pt/ii/PageText.aspx?id=1357,58,30,29,3,Excellent
